displayName,commonName,sciName,speciesCode,category,reportAsSpeciesCode,reportAsCategory,showSpeciesPageLink
Fischer's Lovebird,Fischer's Lovebird,Agapornis fischeri,fislov1,species,fislov1,species,True
Yellow-collared Lovebird,Yellow-collared Lovebird,Agapornis personatus,yeclov,species,yeclov,species,True
lovebird sp.,lovebird sp.,Agapornis sp.,lovebi1,spuh,lovebi1,spuh,False
Senegal Parrot,Senegal Parrot,Poicephalus senegalus,senpar,species,senpar,species,True
Monk Parakeet,Monk Parakeet,Myiopsitta monachus,monpar,species,monpar,species,True
Burrowing Parakeet,Burrowing Parakeet,Cyanoliseus patagonus,burpar,species,burpar,species,True
Nanday Parakeet,Nanday Parakeet,Aratinga nenday,bkhpar,species,bkhpar,species,True
Blue-crowned Parakeet,Blue-crowned Parakeet,Thectocercus acuticaudatus,bucpar,species,bucpar,species,True
Mitred Parakeet,Mitred Parakeet,Psittacara mitratus,mitpar,species,mitpar,species,True
Mitred/Red-masked Parakeet,Mitred/Red-masked Parakeet,Psittacara mitratus/erythrogenys,y00794,slash,y00794,slash,False
large parakeet sp. (former Aratinga sp.),large parakeet sp. (former Aratinga sp.),Eupsittula/Aratinga/Thectocercus/Psittacara sp.,aratin,spuh,aratin,spuh,False
parakeet sp.,parakeet sp.,Psittaciformes sp. (parakeet sp.),parake,spuh,parake,spuh,False
parrot sp.,parrot sp.,Psittaciformes sp. (parrot sp.),parrot,spuh,parrot,spuh,False
Eurasian Golden Oriole,Eurasian Golden Oriole,Oriolus oriolus,eugori2,species,eugori2,species,True
Black-crowned Tchagra,Black-crowned Tchagra,Tchagra senegalus,bkctch1,species,bkctch1,species,True
Red-backed Shrike,Red-backed Shrike,Lanius collurio,rebshr1,species,rebshr1,species,True
Isabelline Shrike,Isabelline Shrike,Lanius isabellinus,isashr1,species,isashr1,species,True
Brown Shrike,Brown Shrike,Lanius cristatus,brnshr,species,brnshr,species,True
Iberian Gray Shrike,Iberian Gray Shrike,Lanius meridionalis,ibgshr1,species,ibgshr1,species,True
Great Gray Shrike,Great Gray Shrike,Lanius excubitor,norshr1,species,norshr1,species,True
Iberian Gray/Great Gray Shrike,Iberian Gray/Great Gray Shrike,Lanius meridionalis/excubitor,y01040,slash,y01040,slash,False
Woodchat Shrike,Woodchat Shrike,Lanius senator,wooshr1,species,wooshr1,species,True
shrike sp.,shrike sp.,Lanius sp.,shrike,spuh,shrike,spuh,False
Eurasian Jay,Eurasian Jay,Garrulus glandarius,eurjay1,species,eurjay1,species,True
jay sp.,jay sp.,Corvidae sp. (jay sp.),jay1,spuh,jay1,spuh,False
Iberian Magpie,Iberian Magpie,Cyanopica cooki,azwmag3,species,azwmag3,species,True
Eurasian Magpie,Eurasian Magpie,Pica pica,eurmag1,species,eurmag1,species,True
Eurasian Nutcracker,Eurasian Nutcracker,Nucifraga caryocatactes,eurnut1,species,eurnut1,species,True
